"item","Año","Genero","Institución educativa","Deporte","Rol","Ciudad","Departamento"
"1,536","2024","Hombre","IE Divino Salvador","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,537","2024","Hombre","IE Centro Social","Baloncesto","Deportista","Yopal","Casanare"
"1,538","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"1,539","2024","Hombre","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"1,540","2024","Hombre","Liceo de la Sabana","Tejo","Deportista","Yopal","Casanare"
"1,541","2024","Hombre","Liceo Pedagogico San Martin","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,542","2024","Hombre","Instituto Pilosophia","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,543","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,544","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,545","2024","Hombre","Liceo Gustavo Matamoros Leon","Fútbol Sala","Deportista","Yopal","Casanare"
"1,546","2024","Hombre","Gimnasio Comfacasanare","Fútbol","Deportista","Yopal","Casanare"
"1,547","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,548","2024","Hombre","Gimnasio de los Llanos","Voleibol","Deportista","Yopal","Casanare"
"1,549","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,550","2024","Hombre","IE Centro Social","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,551","2024","Hombre","IE Centro Social","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,552","2024","Hombre","Instituto Tecnico Empresarial","Voleibol","Deportista","Yopal","Casanare"
"1,553","2024","Hombre","Gimnasio de los Llanos","Fútbol","Deportista","Yopal","Casanare"
"1,554","2024","Hombre","Gimnasio Thomas Jefferson","Karate Do","Deportista","Yopal","Casanare"
"1,555","2024","Hombre","Instituto Pilosophia","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,556","2024","Hombre","Institucion Educativa Megacolegio El Progreso","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,557","2024","Hombre","IE Centro Social","Fútbol Sala","Deportista","Yopal","Casanare"
"1,558","2024","Hombre","Liceo de la Sabana","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,559","2024","Hombre","Colegio Alianza Pedagogica","Fútbol Sala","Deportista","Yopal","Casanare"
"1,560","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol Sala","Deportista","Yopal","Casanare"
"1,561","2024","Hombre","Liceo Pedagógico Colombo Inglés","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,562","2024","Hombre","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,563","2024","Hombre","Gimnasio de los Llanos","Fútbol","Deportista","Yopal","Casanare"
"1,564","2024","Hombre","Inst Autonomo Shakespeare Y Cervantes","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,565","2024","Hombre","IE Lucila Piragauta","Fútbol Sala","Deportista","Yopal","Casanare"
"1,566","2024","Hombre","Gimnasio Thomas Jefferson","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,567","2024","Hombre","Colegio Alianza Pedagogica","Voleibol","Deportista","Yopal","Casanare"
"1,568","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"1,569","2024","Hombre","Colegio campestre Hispano Ingles del Casanare","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,570","2024","Hombre","Instituto Tecnico Empresarial","Voleibol","Deportista","Yopal","Casanare"
"1,571","2024","Hombre","Colegio Alianza Pedagogica","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,572","2024","Hombre","Institucion Educativa Megacolegio El Progreso","Fútbol","Deportista","Yopal","Casanare"
"1,573","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,574","2024","Hombre","Liceo Pedagogico San Martin","Fútbol Sala","Deportista","Yopal","Casanare"
"1,575","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,576","2024","Hombre","Institucion Educativa Megacolegio El Progreso","Fútbol","Deportista","Yopal","Casanare"
"1,577","2024","Hombre","IE Policarpa Salavarrieta","Fútbol","Deportista","Yopal","Casanare"
"1,578","2024","Hombre","Colegio Alianza Pedagogica","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,579","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,580","2024","Hombre","IE Manuela Beltran","Atletismo","Deportista","Yopal","Casanare"
"1,581","2024","Hombre","IE Luis Hernandez Vargas","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,582","2024","Hombre","IE Luis Hernandez Vargas","Voleibol","Deportista","Yopal","Casanare"
"1,583","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"1,584","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"1,585","2024","Hombre","IE Divino Salvador","Fútbol Sala","Deportista","Yopal","Casanare"
"1,586","2024","Hombre","Instituto Tecnico Empresarial","Fútbol","Deportista","Yopal","Casanare"
"1,587","2024","Hombre","IE Policarpa Salavarrieta","Fútbol","Deportista","Yopal","Casanare"
"1,588","2024","Hombre","IE Manuela Beltran","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,589","2024","Hombre","IE Manuela Beltran","Fútbol Sala","Deportista","Yopal","Casanare"
"1,590","2024","Hombre","Instituto Tecnico Empresarial","Baloncesto","Deportista","Yopal","Casanare"
"1,591","2024","Hombre","IE Manuela Beltran","Fútbol Sala","Deportista","Yopal","Casanare"
"1,592","2024","Hombre","Colegio Bethel","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,593","2024","Hombre","Colegio Bethel","Fútbol","Deportista","Yopal","Casanare"
"1,594","2024","Hombre","IE Policarpa Salavarrieta","Baloncesto 3x3","Deportista","Yopal","Casanare"
"1,595","2024","Hombre","Institucion Educativa Megacolegio El Progreso","Fútbol","Deportista","Yopal","Casanare"
"1,596","2024","Hombre","Colegio Alianza Pedagogica","Voleibol","Deportista","Yopal","Casanare"
"1,597","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"1,598","2024","Hombre","Instituto Tecnico Empresarial","Baloncesto","Deportista","Yopal","Casanare"
"1,599","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,600","2024","Hombre","IE Santa Teresa","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,601","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,602","2024","Hombre","Liceo Pedagogico San Martin","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,603","2024","Hombre","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,604","2024","Hombre","Instituto Tecnico Ambiental San Mateo","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,605","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"1,606","2024","Hombre","IE Policarpa Salavarrieta","Fútbol","Deportista","Yopal","Casanare"
"1,607","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,608","2024","Hombre","IE Técnica Agropecuaria Lorgio Rodríguez","Atletismo","Deportista","Yopal","Casanare"
"1,609","2024","Hombre","Instituto Tecnico Empresarial","Fútbol","Deportista","Yopal","Casanare"
"1,610","2024","Hombre","Liceo Escolar los Ángeles","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,611","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"1,612","2024","Hombre","IE Luis Hernandez Vargas","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,613","2024","Hombre","Colegio Alianza Pedagogica","Voleibol","Deportista","Yopal","Casanare"
"1,614","2024","Hombre","IE Centro Social","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,615","2024","Hombre","Colegio Bethel","Fútbol","Deportista","Yopal","Casanare"
"1,616","2024","Hombre","Liceo de la Sabana","Patinaje","Deportista","Yopal","Casanare"
"1,617","2024","Hombre","IE Jorge ElIEcer Gaitan","Fútbol Sala","Deportista","Yopal","Casanare"
"1,618","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,619","2024","Hombre","IE Luis Hernandez Vargas","Baloncesto 3x3","Deportista","Yopal","Casanare"
"1,620","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Fútbol Sala","Deportista","Yopal","Casanare"
"1,621","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol","Deportista","Yopal","Casanare"
"1,622","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"1,623","2024","Hombre","Gimnasio Comfacasanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,624","2024","Hombre","Liceo Escolar los Ángeles","Fútbol","Deportista","Yopal","Casanare"
"1,625","2024","Hombre","IE Manuela Beltran","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,626","2024","Hombre","Liceo de la Sabana","Tejo","Deportista","Yopal","Casanare"
"1,627","2024","Hombre","Liceo Pedagógico Colombo Inglés","Tenis de Mesa","Deportista","Yopal","Casanare"
"1,628","2024","Hombre","Liceo Campestre Andino","Fútbol Sala","Deportista","Yopal","Casanare"
"1,629","2024","Hombre","Instituto Tecnico Empresarial","Ciclismo Ruta","Deportista","Yopal","Casanare"
"1,630","2024","Hombre","Gimnasio Comfacasanare","Fútbol","Deportista","Yopal","Casanare"
"1,631","2024","Hombre","Gimnasio Comfacasanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,632","2024","Hombre","Liceo Campestre Andino","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,633","2024","Hombre","Colegio Bethel","Fútbol","Deportista","Yopal","Casanare"
"1,634","2024","Hombre","Instituto Tecnico Ambiental San Mateo","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,635","2024","Hombre","IE Centro Social","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,636","2024","Hombre","IE Centro Social","Baloncesto","Deportista","Yopal","Casanare"
"1,637","2024","Hombre","Gimnasio Comfacasanare","Natación","Deportista","Yopal","Casanare"
"1,638","2024","Hombre","IE Centro Social","Voleibol","Deportista","Yopal","Casanare"
"1,639","2024","Hombre","IE Lucila Piragauta","Baloncesto","Deportista","Yopal","Casanare"
"1,640","2024","Hombre","IE Luis Hernandez Vargas","Baloncesto 3x3","Deportista","Yopal","Casanare"
"1,641","2024","Hombre","Instituto Tecnico Empresarial","Taekwondo","Deportista","Yopal","Casanare"
"1,642","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"1,643","2024","Hombre","IE Centro Social","Baloncesto","Deportista","Yopal","Casanare"
"1,644","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,645","2024","Hombre","IE La Campiña","Baloncesto","Deportista","Yopal","Casanare"
"1,646","2024","Hombre","IE Centro Social","Voleibol","Deportista","Yopal","Casanare"
"1,647","2024","Hombre","IE Centro Social","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,648","2024","Hombre","Instituto Tecnico Empresarial","Baloncesto","Deportista","Yopal","Casanare"
"1,649","2024","Hombre","Colegio Bethel","Fútbol","Deportista","Yopal","Casanare"
"1,650","2024","Hombre","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"1,651","2024","Hombre","IE Técnica Agropecuaria Lorgio Rodríguez","Atletismo","Deportista","Yopal","Casanare"
"1,652","2024","Hombre","IE El Paraiso","Judo","Deportista","Yopal","Casanare"
"1,653","2024","Hombre","Liceo Escolar los Ángeles","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,654","2024","Hombre","Gimnasio Thomas Jefferson","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,655","2024","Hombre","IE Manuela Beltran","Baloncesto","Deportista","Yopal","Casanare"
"1,656","2024","Hombre","Colegio San Mateo Apostol","Baloncesto","Deportista","Yopal","Casanare"
"1,657","2024","Hombre","IE Manuela Beltran","Voleibol","Deportista","Yopal","Casanare"
"1,658","2024","Hombre","Gimnasio Comfacasanare","Tenis de Mesa","Deportista","Yopal","Casanare"
"1,659","2024","Hombre","IE Braulio Gonzalez","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,660","2024","Hombre","IE Policarpa Salavarrieta","Mini Baloncesto","Deportista","Yopal","Casanare"
"1,661","2024","Hombre","Liceo Gustavo Matamoros Leon","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,662","2024","Hombre","Liceo Gustavo Matamoros Leon","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,663","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,664","2024","Hombre","IE Manuela Beltran","Fútbol Sala","Deportista","Yopal","Casanare"
"1,665","2024","Hombre","IE Luis Hernandez Vargas","Voleibol","Deportista","Yopal","Casanare"
"1,666","2024","Hombre","Instituto Tecnico Empresarial","Fútbol","Deportista","Yopal","Casanare"
"1,667","2024","Hombre","IE Centro Social","Mini Baloncesto","Deportista","Yopal","Casanare"
"1,668","2024","Hombre","IE El Paraiso","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,669","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"1,670","2024","Hombre","Liceo Gustavo Matamoros Leon","Fútbol","Deportista","Yopal","Casanare"
"1,671","2024","Hombre","Liceo Escolar los Ángeles","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,672","2024","Hombre","IE Centro Social","Tenis de Mesa","Deportista","Yopal","Casanare"
"1,673","2024","Hombre","IE Braulio Gonzalez","Mini Baloncesto","Deportista","Yopal","Casanare"
"1,674","2024","Hombre","IE Centro Social","Mini Baloncesto","Deportista","Yopal","Casanare"
"1,675","2024","Hombre","Gimnasio Comfacasanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,676","2024","Hombre","Liceo Infantil Siglo XXI","Fútbol Sala","Deportista","Yopal","Casanare"
"1,677","2024","Hombre","IE Manuela Beltran","Fútbol","Deportista","Yopal","Casanare"
"1,678","2024","Hombre","IE Centro Social","Baloncesto 3x3","Deportista","Yopal","Casanare"
"1,679","2024","Hombre","IE Centro Social","Fútbol Sala","Deportista","Yopal","Casanare"
"1,680","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"1,681","2024","Hombre","Liceo Gustavo Matamoros Leon","Fútbol Sala","Deportista","Yopal","Casanare"
"1,682","2024","Hombre","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"1,683","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"1,684","2024","Hombre","IE Braulio Gonzalez","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,685","2024","Hombre","Gimnasio Comfacasanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,686","2024","Hombre","IE Centro Social","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,687","2024","Hombre","IE Centro Social","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,688","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,689","2024","Hombre","IE Braulio Gonzalez","Mini Baloncesto","Deportista","Yopal","Casanare"
"1,690","2024","Hombre","Gimnasio Comfacasanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,691","2024","Hombre","IE La Campiña","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,692","2024","Hombre","IE Braulio Gonzalez","Baloncesto 3x3","Deportista","Yopal","Casanare"
"1,693","2024","Hombre","IE Centro Social","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,694","2024","Hombre","Institucion Educativa Tecnica Agropecuaria La Inmaculada","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,695","2024","Hombre","Colegio Alianza Pedagogica","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,696","2024","Hombre","Gimnasio Thomas Jefferson","Boxeo","Deportista","Yopal","Casanare"
"1,697","2024","Hombre","Liceo Pedagogico San Martin","Fútbol Sala","Deportista","Yopal","Casanare"
"1,698","2024","Hombre","Gimnasio Thomas Jefferson","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,699","2024","Hombre","IE Centro Social","Baloncesto 3x3","Deportista","Yopal","Casanare"
"1,700","2024","Hombre","Gimnasio Comfacasanare","Baloncesto","Deportista","Yopal","Casanare"
"1,701","2024","Hombre","IE Santa Teresa","Fútbol Sala","Deportista","Yopal","Casanare"
"1,702","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,703","2024","Hombre","Liceo Escolar los Ángeles","Tenis de Mesa","Deportista","Yopal","Casanare"
"1,704","2024","Hombre","IE Centro Social","Mini Baloncesto","Deportista","Yopal","Casanare"
"1,705","2024","Hombre","Gimnasio de los Llanos","Fútbol","Deportista","Yopal","Casanare"
"1,706","2024","Hombre","IE Lucila Piragauta","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,707","2024","Hombre","IE Policarpa Salavarrieta","Atletismo","Deportista","Yopal","Casanare"
"1,708","2024","Hombre","Instituto Tecnico Empresarial","Fútbol Sala","Deportista","Yopal","Casanare"
"1,709","2024","Hombre","Colegio Alianza Pedagogica","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,710","2024","Hombre","Gimnasio Thomas Jefferson","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,711","2024","Hombre","IE Centro Social","Mini Baloncesto","Deportista","Yopal","Casanare"
"1,712","2024","Hombre","Liceo de la Sabana","Tejo","Deportista","Yopal","Casanare"
"1,713","2024","Hombre","IE Teresa de Calcuta","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,714","2024","Hombre","Instituto Tecnico Empresarial","Fútbol","Deportista","Yopal","Casanare"
"1,715","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,716","2024","Hombre","Liceo Gustavo Matamoros Leon","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,717","2024","Hombre","Gimnasio Comfacasanare","Atletismo","Deportista","Yopal","Casanare"
"1,718","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Natación","Deportista","Yopal","Casanare"
"1,719","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,720","2024","Hombre","IE Centro Social","Mini Baloncesto","Deportista","Yopal","Casanare"
"1,721","2024","Hombre","IE Braulio Gonzalez","Baloncesto","Deportista","Yopal","Casanare"
"1,722","2024","Hombre","Liceo Pedagógico Colombo Inglés","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,723","2024","Hombre","IE Braulio Gonzalez","Boxeo","Deportista","Yopal","Casanare"
"1,724","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"1,725","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Fútbol Sala","Deportista","Yopal","Casanare"
"1,726","2024","Hombre","IE Centro Social","Mini Baloncesto","Deportista","Yopal","Casanare"
"1,727","2024","Hombre","Colegio San Mateo Apostol","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,728","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"1,729","2024","Hombre","IE Braulio Gonzalez","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,730","2024","Hombre","Gimnasio de los Llanos","Voleibol","Deportista","Yopal","Casanare"
"1,731","2024","Hombre","Gimnasio Thomas Jefferson","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,732","2024","Hombre","IE Jorge ElIEcer Gaitan","Fútbol Sala","Deportista","Yopal","Casanare"
"1,733","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Fútbol Sala","Deportista","Yopal","Casanare"
"1,734","2024","Hombre","Colegio campestre Hispano Ingles del Casanare","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,735","2024","Hombre","Gimnasio Thomas Jefferson","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,736","2024","Hombre","IE Centro Social","Fútbol Sala","Deportista","Yopal","Casanare"
"1,737","2024","Hombre","Gimnasio Comfacasanare","Fútbol","Deportista","Yopal","Casanare"
"1,738","2024","Hombre","Liceo Infantil Siglo XXI","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,739","2024","Hombre","Liceo Escolar los Ángeles","Fútbol","Deportista","Yopal","Casanare"
"1,740","2024","Hombre","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,741","2024","Hombre","Gimnasio de los Llanos","Voleibol","Deportista","Yopal","Casanare"
"1,742","2024","Hombre","IE El Triunfo","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,743","2024","Hombre","Colegio Bethel","Fútbol Sala","Deportista","Yopal","Casanare"
"1,744","2024","Hombre","IE Lucila Piragauta","Baloncesto","Deportista","Yopal","Casanare"
"1,745","2024","Hombre","Liceo Gustavo Matamoros Leon","Fútbol","Deportista","Yopal","Casanare"
"1,746","2024","Hombre","Gimnasio Thomas Jefferson","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,747","2024","Hombre","Colegio campestre Hispano Ingles del Casanare","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,748","2024","Hombre","Colegio campestre Hispano Ingles del Casanare","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,749","2024","Hombre","Colegio Bethel","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,750","2024","Hombre","Liceo Escolar los Ángeles","Fútbol","Deportista","Yopal","Casanare"
"1,751","2024","Hombre","IE Manuela Beltran","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,752","2024","Hombre","IE Policarpa Salavarrieta","Baloncesto","Deportista","Yopal","Casanare"
"1,753","2024","Hombre","Gimnasio de los Llanos","Baloncesto","Deportista","Yopal","Casanare"
"1,754","2024","Hombre","IE Centro Social","Baloncesto","Deportista","Yopal","Casanare"
"1,755","2024","Hombre","Colegio de la Presentación Yopal","Fútbol Sala","Deportista","Yopal","Casanare"
"1,756","2024","Hombre","IE Teresa de Calcuta","Fútbol Sala","Deportista","Yopal","Casanare"
"1,757","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Fútbol Sala","Deportista","Yopal","Casanare"
"1,758","2024","Hombre","Gimnasio Comfacasanare","Atletismo","Deportista","Yopal","Casanare"
"1,759","2024","Hombre","IE Luis Hernandez Vargas","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,760","2024","Hombre","Gimnasio Comfacasanare","Fútbol","Deportista","Yopal","Casanare"
"1,761","2024","Hombre","Liceo Infantil Siglo XXI","Fútbol Sala","Deportista","Yopal","Casanare"
"1,762","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,763","2024","Hombre","Liceo Escolar los Ángeles","Fútbol","Deportista","Yopal","Casanare"
"1,764","2024","Hombre","IE Manuela Beltran","Baloncesto","Deportista","Yopal","Casanare"
"1,765","2024","Hombre","Liceo Pedagógico Colombo Inglés","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,766","2024","Hombre","Colegio San Mateo Apostol","Baloncesto","Deportista","Yopal","Casanare"
"1,767","2024","Hombre","IE La Campiña","Voleibol","Deportista","Yopal","Casanare"
"1,768","2024","Hombre","Liceo Escolar los Ángeles","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,769","2024","Hombre","IE Centro Social","Voleibol","Deportista","Yopal","Casanare"
"1,770","2024","Hombre","Liceo Escolar los Ángeles","Fútbol","Deportista","Yopal","Casanare"
"1,771","2024","Hombre","Instituto Pilosophia","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,772","2024","Hombre","Gimnasio de los Llanos","Fútbol","Deportista","Yopal","Casanare"
"1,773","2024","Hombre","Colegio San Mateo Apostol","Baloncesto","Deportista","Yopal","Casanare"
"1,774","2024","Hombre","Instituto Tecnico Empresarial","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,775","2024","Hombre","IE Luis Hernandez Vargas","Tenis de Mesa","Deportista","Yopal","Casanare"
"1,776","2024","Hombre","Instituto Pilosophia","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,777","2024","Hombre","IE Luis Hernandez Vargas","Fútbol Sala","Deportista","Yopal","Casanare"
"1,778","2024","Hombre","Colegio Alianza Pedagogica","Fútbol Sala","Deportista","Yopal","Casanare"
"1,779","2024","Hombre","Gimnasio de los Llanos","Fútbol","Deportista","Yopal","Casanare"
"1,780","2024","Hombre","IE La Campiña","Voleibol","Deportista","Yopal","Casanare"
"1,781","2024","Hombre","IE Braulio Gonzalez","Baloncesto","Deportista","Yopal","Casanare"
"1,782","2024","Hombre","Gimnasio Thomas Jefferson","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,783","2024","Hombre","Gimnasio de los Llanos","Fútbol","Deportista","Yopal","Casanare"
"1,784","2024","Hombre","Liceo Pedagogico San Martin","Fútbol Sala","Deportista","Yopal","Casanare"
"1,785","2024","Hombre","IE Centro Social","Mini Baloncesto","Deportista","Yopal","Casanare"
"1,786","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"1,787","2024","Hombre","Gimnasio Comfacasanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,788","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"1,789","2024","Hombre","Gimnasio de los Llanos","Fútbol","Deportista","Yopal","Casanare"
"1,790","2024","Hombre","Gimnasio Thomas Jefferson","Fútbol de Salón","Deportista","Yopal","Casanare"
"1,791","2024","Hombre","Institucion Educativa Tecnica Agropecuaria La Inmaculada","Fútbol Sala","Deportista","Yopal","Casanare"
"1,792","2024","Hombre","Gimnasio de los Llanos","Fútbol","Deportista","Yopal","Casanare"
"1,793","2024","Hombre","Instituto Tecnico Empresarial","Fútbol","Deportista","Yopal","Casanare"
"1,794","2024","Hombre","Liceo Infantil Siglo XXI","Fútbol Sala","Deportista","Yopal","Casanare"
"1,795","2024","Hombre","IE Centro Social","Ajedrez Integrado","Deportista","Yopal","Casanare"
"1,796","2024","Hombre","IE Luis Hernandez Vargas","Baloncesto","Deportista","Yopal","Casanare"
"1,797","2024","Hombre","IE Policarpa Salavarrieta","Baloncesto","Deportista","Yopal","Casanare"
"1,798","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"1,799","2024","Hombre","IE Luis Hernandez Vargas","Fútbol Sala","Deportista","Yopal","Casanare"
"1,800","2024","Hombre","Gimnasio Comfacasanare","Fútbol","Deportista","Yopal","Casanare"
"1,801","2024","Hombre","Instituto Tecnico Empresarial","Fútbol","Deportista","Yopal","Casanare"
"1,802","2024","Hombre","Instituto Tecnico Ambiental San Mateo","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"1,803","2024","Hombre","Liceo Gustavo Matamoros Leon","Voleibol","Deportista","Yopal","Casanare"
"1,804","2024","Hombre","IE Centro Social","Judo","Deportista","Yopal","Casanare"
"1,805","2024","Hombre","Colegio de la Presentación Yopal","Fútbol Sala","Deportista","Yopal","Casanare"
