"item","Año","Genero","Institución educativa","Deporte","Rol","Ciudad","Departamento"
"126","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Fútbol Sala","Deportista","Yopal","Casanare"
"127","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"128","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"129","2024","Hombre","Instituto Tecnico Empresarial","Baloncesto","Deportista","Yopal","Casanare"
"130","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol de Salón","Deportista","Yopal","Casanare"
"131","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Tejo","Deportista","Yopal","Casanare"
"132","2024","Hombre","Instituto Tecnico Empresarial","Fútbol","Deportista","Yopal","Casanare"
"133","2024","Hombre","IE Centro Social","Baloncesto","Deportista","Yopal","Casanare"
"134","2024","Hombre","IE Braulio Gonzalez","Ajedrez Integrado","Deportista","Yopal","Casanare"
"135","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"136","2024","Hombre","IE Centro Social","Fútbol Sala","Deportista","Yopal","Casanare"
"137","2024","Hombre","IE La Campiña","Fútbol de Salón","Deportista","Yopal","Casanare"
"138","2024","Hombre","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"139","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"140","2024","Hombre","Gimnasio Comfacasanare","Fútbol","Deportista","Yopal","Casanare"
"141","2024","Hombre","IE Braulio Gonzalez","Fútbol Sala","Deportista","Yopal","Casanare"
"142","2024","Hombre","IE Luis Hernandez Vargas","Voleibol","Deportista","Yopal","Casanare"
"143","2024","Hombre","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"144","2024","Hombre","Liceo Pedagógico Colombo Inglés","Fútbol Sala","Deportista","Yopal","Casanare"
"145","2024","Hombre","Gimnasio Comfacasanare","Ajedrez Integrado","Deportista","Yopal","Casanare"
"146","2024","Hombre","IE Centro Social","Ajedrez Integrado","Deportista","Yopal","Casanare"
"147","2024","Hombre","Institucion Educativa Tecnica Agropecuaria La Inmaculada","Fútbol Sala","Deportista","Yopal","Casanare"
"148","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"149","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"150","2024","Hombre","Instituto Tecnico Empresarial","Voleibol","Deportista","Yopal","Casanare"
"151","2024","Hombre","IE Centro Social","Fútbol de Salón","Deportista","Yopal","Casanare"
"152","2024","Hombre","Gimnasio Thomas Jefferson","Mini Fútbol Sala","Deportista","Yopal","Casanare"
